Percent Change,High Percent,Low Percent,Day,Month,Year,DayOfWeek,Y
1.010062957,1.100099526,0.94710016,1,12,1,4,1.09192629
1.09192629,1.02888183,0.986558026,2,12,1,5,1.004713898
1.004713898,1.085991551,0.969365968,3,12,1,6,1.030560723
1.03037745,1.033830775,0.970971701,4,12,1,0,1.033768521
1.033812988,1.0238722,0.988102612,5,12,1,1,1.003673308
1.003673308,1.186515929,0.999545731,6,12,1,2,1.17849337
1.178536226,1.227576527,0.97465473,7,12,1,3,1.225467451
1.226754715,1.025302348,0.824407161,8,12,1,4,0.951363529
0.951399099,1.016512755,0.819500006,9,12,1,5,0.92492616
0.924714298,1.063557951,0.87809973,10,12,1,6,1.014797844
1.014858491,1.155287009,0.997616281,11,12,1,0,1.11101889
1.11107201,1.049446314,0.971386397,12,12,1,1,1.020952233
1.020952233,1.010776228,0.917232014,13,12,1,2,0.953342035
0.953342035,1.040173638,0.983839674,14,12,1,3,1.011119434
1.011119434,1.092246127,0.998439388,15,12,1,4,1.069037339
1.06838759,1.113310712,0.984335658,16,12,1,5,1.099544734
1.099607255,1.027084862,0.96920906,17,12,1,6,0.985480653
0.985480653,1.008150763,0.950104114,18,12,1,0,0.99510115
0.995043455,1.002677743,0.886227545,19,12,1,1,0.923700135
0.923594712,1.016659342,0.892761547,20,12,1,2,0.939520709
0.939469344,1.051071921,0.908384008,21,12,1,3,0.949638846
0.949638846,1.01225683,0.695728661,22,12,1,4,0.87416278
0.87416278,1.133787047,0.977394804,23,12,1,5,1.053530918
1.053538236,1.00118778,0.84509537,24,12,1,6,0.957865051
0.957865051,1.049122553,0.943488035,25,12,1,0,1.00315446
1.002915156,1.163735882,0.994092638,26,12,1,1,1.139289381
1.139318303,1.048080218,0.922428127,27,12,1,2,0.978396903
0.978377864,1.005786084,0.873497532,28,12,1,3,0.933991944
0.93397897,1.049400979,0.968927319,29,12,1,4,0.999590235
0.999555509,1.00482209,0.831157371,30,12,1,5,0.870720743
0.870783277,1.136398455,0.986195781,31,12,1,6,1.105167406
1.105175385,1.005126169,0.929764268,1,1,2,0,0.970715859
0.970715859,1.138431673,0.962015337,2,1,2,1,1.097375213
1.097375213,1.046149884,0.988179557,3,1,2,2,1.027280553
1.027273775,1.016639726,0.939840992,4,1,2,3,1.001557088
1.001557088,1.128246849,0.977095013,5,1,2,4,1.116909638
1.116909638,1.017576144,0.960589332,6,1,2,5,1.012828226
1.012957982,1.000599726,0.919450348,7,1,2,6,0.94490087
