Price,Open,High,Low,Vol.,Day,Month,Year,DayOfWeek,
"3,600.80","3,617.30","3,753.50","3,505.80",114.72,22,9,2017,4,"3,600.80"
"3,788.00","3,600.80","3,813.40","3,563.20",67.82,23,9,2017,5,"3,788.00"
"3,667.50","3,788.00","3,790.90","3,633.90",49.66,24,9,2017,6,"3,667.50"
"3,932.80","3,667.50","3,971.50","3,665.70",100.2,25,9,2017,0,"3,932.80"
"3,892.70","3,932.80","3,982.30","3,858.80",63.25,26,9,2017,1,"3,892.70"
"4,212.20","3,892.70","4,232.40","3,882.10",117.6,27,9,2017,2,"4,212.20"
"4,195.60","4,212.20","4,274.60","4,112.90",92.23,28,9,2017,3,"4,195.60"
"4,172.80","4,195.60","4,237.50","4,030.40",97.8,29,9,2017,4,"4,172.80"
"4,360.60","4,172.80","4,383.30","4,164.30",67.49,30,9,2017,5,"4,360.60"
"4,403.10","4,360.60","4,412.60","4,258.30",60.58,1,10,2017,6,"4,403.10"
"4,401.30","4,403.10","4,477.40","4,364.70",71.2,2,10,2017,0,"4,401.30"
"4,314.20","4,401.30","4,436.00","4,230.70",81.87,3,10,2017,1,"4,314.20"
"4,218.70","4,314.20","4,355.30","4,183.60",64.08,4,10,2017,2,"4,218.70"
"4,321.40","4,218.70","4,365.80","4,143.40",63.61,5,10,2017,3,"4,321.40"
"4,371.90","4,321.40","4,422.10","4,296.90",61.69,6,10,2017,4,"4,371.90"
"4,435.80","4,371.90","4,472.90","4,319.50",40.2,7,10,2017,5,"4,435.80"
"4,611.70","4,435.80","4,622.90","4,419.40",71.37,8,10,2017,6,"4,611.70"
"4,777.50","4,611.70","4,875.40","4,556.10",110.19,9,10,2017,0,"4,777.50"
"4,763.40","4,777.50","4,930.00","4,722.80",98.49,10,10,2017,1,"4,763.40"
"4,824.20","4,763.40","4,874.90","4,718.60",70.48,11,10,2017,2,"4,824.20"
"5,432.60","4,824.20","5,432.60","4,815.00",163.92,12,10,2017,3,"5,432.60"
"5,637.30","5,432.60","5,852.80","5,392.00",215.02,13,10,2017,4,"5,637.30"
"5,824.70","5,637.30","5,839.60","5,568.90",76.22,14,10,2017,5,"5,824.70"
"5,688.10","5,824.70","5,862.70","5,448.20",101.64,15,10,2017,6,"5,677.40"
